Author,Book,PoemTitle,Poem
Emily Dickinson,"Poems: Three Series, Complete","This is my letter to the world,","That never wrote to me, --
The simple news that Nature told,
With tender majesty.
Her message is committed
To hands I cannot see;
For love of her, sweet countrymen,
Judge tenderly of me!"
Emily Dickinson,"Poems: Three Series, Complete",SUCCESS.,"Success is counted sweetest
By those who ne'er succeed.
To comprehend a nectar
Requires sorest need.
Not one of all the purple host
Who took the flag to-day
Can tell the definition,
So clear, of victory,
As he, defeated, dying,
On whose forbidden ear
The distant strains of triumph
Break, agonized and clear!"
Emily Dickinson,"Poems: Three Series, Complete",II.,"Our share of night to bear,
Our share of morning,
Our blank in bliss to fill,
Our blank in scorning.
Here a star, and there a star,
Some lose their way.
Here a mist, and there a mist,
Afterwards -- day!"
Emily Dickinson,"Poems: Three Series, Complete",ROUGE ET NOIR.,"Soul, wilt thou toss again?
By just such a hazard
Hundreds have lost, indeed,
But tens have won an all.
Angels' breathless ballot
Lingers to record thee;
Imps in eager caucus
Raffle for my soul."
Emily Dickinson,"Poems: Three Series, Complete",ROUGE GAGNE.,"'T is so much joy! 'T is so much joy!
If I should fail, what poverty!
And yet, as poor as I
Have ventured all upon a throw;
Have gained! Yes! Hesitated so
This side the victory!
Life is but life, and death but death!
Bliss is but bliss, and breath but breath!
And if, indeed, I fail,
At least to know the worst is sweet.
Defeat means nothing but defeat,
No drearier can prevail!
And if I gain, -- oh, gun at sea,
Oh, bells that in the steeples be,
At first repeat it slow!
For heaven is a different thing
Conjectured, and waked sudden in,
And might o'erwhelm me so!"
Emily Dickinson,"Poems: Three Series, Complete",V.,"Glee! The great storm is over!
Four have recovered the land;
Forty gone down together
Into the boiling sand.
Ring, for the scant salvation!
Toll, for the bonnie souls, --
Neighbor and friend and bridegroom,
Spinning upon the shoals!
How they will tell the shipwreck
When winter shakes the door,
Till the children ask, ""But the forty?
Did they come back no more?""
Then a silence suffuses the story,
And a softness the teller's eye;
And the children no further question,
And only the waves reply."
Emily Dickinson,"Poems: Three Series, Complete",VI.,"If I can stop one heart from breaking,
I shall not live in vain;
If I can ease one life the aching,
Or cool one pain,
Or help one fainting robin
Unto his nest again,
I shall not live in vain."
Emily Dickinson,"Poems: Three Series, Complete",ALMOST!,"Within my reach!
I could have touched!
I might have chanced that way!
Soft sauntered through the village,
Sauntered as soft away!
So unsuspected violets
Within the fields lie low,
Too late for striving fingers
That passed, an hour ago."
Emily Dickinson,"Poems: Three Series, Complete",VIII.,"A wounded deer leaps highest,
I've heard the hunter tell;
'T is but the ecstasy of death,
And then the brake is still.
The smitten rock that gushes,
The trampled steel that springs;
A cheek is always redder
Just where the hectic stings!
Mirth is the mail of anguish,
In which it cautions arm,
Lest anybody spy the blood
And ""You're hurt"" exclaim!"
Emily Dickinson,"Poems: Three Series, Complete",IX.,"The heart asks pleasure first,
And then, excuse from pain;
And then, those little anodynes
That deaden suffering;
And then, to go to sleep;
And then, if it should be
The will of its Inquisitor,
The liberty to die."
